variant,code,name,market,entry_date,exit_date,entry,exit,ret,days,reason,atr_pct,r_multiple,bench,excess,sample
D4_hh20_ll10_sma_prime,7388,ＦＰパートナー,プライム（内国株式）,2024-01-22,2024-03-19,5362.556591220489,6381.809866768973,0.18706853507470533,39,ll,0.037328761357162454,2.5458725144416814,0.11234607097497595,0.07472246409972938,IS
D4_hh20_ll10_sma_prime,7388,ＦＰパートナー,プライム（内国株式）,2024-11-08,2024-12-02,2855.213932777519,2315.205630681064,-0.19213059224642448,16,ll,0.034569118434975024,-2.7355425999968963,-0.022050775265653688,-0.1700798169807708,IS
D4_hh20_ll10_sma_prime,7388,ＦＰパートナー,プライム（内国株式）,2025-02-25,2025-04-08,2212.41248646349,2221.8431865985576,0.0012626319426277703,29,ll,0.019607841162884672,0.1086971254820324,-0.14865440832115007,0.14991704026377783,IS
D4_hh20_ll10_sma_prime,7388,ＦＰパートナー,プライム（内国株式）,2025-09-05,2025-10-01,2079.7383008934985,2065.3290128368094,-0.009928414046372343,16,ll,0.014087777683518411,-0.24590159647671236,0.04627922868838996,-0.05620764273476231,IS
D4_hh20_ll10_sma_prime,7388,ＦＰパートナー,プライム（内国株式）,2025-10-17,2025-10-31,2292.9955835399514,2175.800048828125,-0.054110231329315805,10,ll,0.019689993048911947,-1.2978732699994562,0.08562127617534632,-0.13973150750466212,OOS
D4_hh20_ll10_sma_prime,7388,ＦＰパートナー,プライム（内国株式）,2026-03-02,2026-03-05,2308.5773215926997,2289.959829349136,-0.011064487192796176,3,ll,0.019142602393313262,-0.21064239404599303,-0.06069999281147087,0.04963550561867469,OOS
D4_hh20_ll10_sma_prime,7388,ＦＰパートナー,プライム（内国株式）,2026-04-02,2026-04-16,2371.288966478164,2250.7649414276284,-0.0538263761837251,10,ll,0.026322313558470176,-0.9654617948157107,0.1075306028962828,-0.1613569790800079,OOS
D4_hh20_ll10_sma_prime,7388,ＦＰパートナー,プライム（内国株式）,2026-08-27,2026-09-18,2327.0,2330.0,-0.0017107864202835473,16,open,0.017597765363128494,0.036630036630036625,-0.018761946510758132,0.017051160090474585,OOS
D1_hh20_ll10,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2024-01-30,2024-03-08,626.1001343853706,652.5293367209111,0.03921242079988618,26,ll,0.02161153479341057,0.9766178386543135,0.10164615304713909,-0.062433732247252904,IS
D1_hh20_ll10,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2024-03-28,2024-04-22,722.7036581851324,687.1608438592208,-0.05218034373199032,17,ll,0.025283733953326455,-0.9725688425368022,-0.08154804782516656,0.02936770409317624,IS
